Disease,Symptoms,Medical_Specialty
black hairy tongue,"tan, signs, green, system:'you, i, black_hairy_tongue, patients, black_discoloration, the_tongue, the_color, a_hairy_or_furry_appearance, symptoms, the_overgrowth, patient, metallic_taste, the_papillae, the_tongue_altered_taste",Otolaryngologist
bladder cancer,"blood, pelvic_pain, a_lab_test_frequent_urination_painful_urination, the_urine, frequent_urination, system:'you, urine, patients, i, hematuria, pain, symptoms, patient, bladder_cancer_signs, which",Oncologist
bladder disorder,"frequent_urination, pelvic_pain, urgency","Psychiatrist, Urologist"
bladder exstrophy,"this_condition, spinal_cord, the_outside, that, the_body, system:'you, the_least_severe_form, birth_defects, patients, urine, urethra, defects, children, beec, the_abdominal_wall, final_section, spinal_abnormalities, abdominal_organs, genitals, the_tubes, the_urinary_tract, the_tube, pelvic_bones, the_kidneys, ureters, kloe-a-kul_ek-stroh-fee, the_bladder, the_fetus, these_organs, which, cloacal_exstrophy, opening, the_end, anus, the_rectum, rectum, the_bladder_exstrophy-epispadias_complex, bladder, the_digestive_and_reproductive_systems, the_large_intestine, the_larger_group, the_pelvic_bones, backbone, organs, the_wrong_way, this_defect, the_most_serious_form, the_following, vesicoureteral_reflux, i, bladder_exstrophy, spina_bifida, most_children, patient, this","Gastroenterologist, Urologist"
bladder stones,"cloudy_or_unusually_dark-colored_urine, even_large_ones, signs, lower_abdominal_pain_pain, sometimes_bladder_stones, system:'you, i, the_bladder_wall, patients, urine, urination_frequent_urination_difficulty, the_urine, symptoms, the_flow, patient, no_problems, a_stone",Urologist
blastocystis hominis infection,"watery_diarrhea_nausea_abdominal_pain, signs, system:'you, i, patients, excessive_gas_loss, appetite_weight_loss_anal_itching_fatigue, symptoms, blastocystis, patient",Infectious Disease Specialist
blepharitis,"that, system:'you, patients, symptoms, watery_eyes_red_eyes, the_skin, blepharitis_signs, the_eyes, the_morning, greasy_itchy_eyelids, more_frequent_blinking_sensitivity, the_eyes_eyelids, sensation, swollen_eyelids_flaking, eyelashes, i, patient, light_blurred_vision, they",Dermatologist
blocked tear duct,"the_eye_crusting, pus_discharge, system:'you, i, patients, the_eye_recurrent_eye_infection, the_inside_corner, the_lids, the_eye_blurred_vision, symptoms, patient, a_blocked_tear_duct, surface, excessive_tearing_redness, the_eyelids_mucus, the_white_part, inflammation","Infectious Disease Specialist, Otolaryngologist"
blood in urine,"blood_clots, blood, that, the_urine, it, system:'you, i, patients, the_bleeding, urine_red, patient, only_a_small_amount, red_blood_cells, color",General Practitioner
body dysmorphic disorder,"your_perceived_flaws, a_defect, the_more_distress, that, problems, signs, one_or_more_parts, major_distress, system:'you, your_life, patients, people, the_bodily_feature, symptoms, body_dysmorphic_disorder, perfectionist_tendencies, perceived_flaws, school, disruption, other_areas, excessive_thoughts, time, reassurance, social_situations__preoccupation, acne, grooming_or_skin_picking, little_satisfaction, males, complexion, deformed_belief, a_negative_way, your_appearance, behaviors, your_body, you, wrinkles, others, appearance, the_perceived_flaw, special_notice, a_perceived_flaw, nose, repetitive_behaviors, the_most_common_features, skin, your_body_build, insight, clothes, your_social_life, your_beliefs, i, minor_strong_belief, makeup, other_blemishes_hair, patient, the_mirror, styling, they, cosmetic_procedures","Dermatologist, Otolaryngologist"
body lice,"a_skin_infection, blood, your_skin, the_infestation, the_bites, the_site, system:'you, i, you, patients, crust, your_doctor, intense_itching, patient, the_bite_marks, body_lice_bites, small_areas, improved_hygiene","Dermatologist, Infectious Disease Specialist"
boils and carbuncles,"reddish, hair-bearing_areas, a_connected_area, that, signs, system:'you, a_boil, pus_development, patients, a_cluster, people, symptoms, a_few_days, an_increase, the_size, the_pus, a_carbuncle, chills, buttocks, swollen_skin, a_scar, your_skin, it, you, single_boils, a_deeper_and_more_severe_infection, the_face, armpits, red_bump, infection, thighs, carbuncles, a_yellow-white_tip, friction, boils, who, 5_centimeters, i, more_than_2_inches, the_bump, patient, a_fever, the_neck","Dermatologist, Infectious Disease Specialist"
bone and joint infections,"months, signs, the_joint, system:'you, the_affected_joint, a_loosening, patients, pain, symptoms, swelling, septic_arthritis, knee_replacement, years, weight, which, an_artificial_joint_(prosthetic_joint_infection, you, minor_pain, extreme_discomfort, difficulty, extreme_cases, rest, hip_replacement_surgery, i, patient, a_fever, the_pain","Infectious Disease Specialist, Orthopedist"
bone cancer,"bone_pain_swelling, unintended_weight_loss, unexplained_weight_loss, bone, signs, system:'you, i, the_affected_area, patients, bone_cancer, bone_pain, symptoms, patient, fractures, tenderness, fatigue","Oncologist, Orthopedist"
bone metastasis,"signs, system:'you, nausea, patients, no_signs, symptoms, bone_metastasis, bone_pain_broken_bones_urinary_incontinence_bowel_incontinence_weakness, constipation, which, it, arms_high_levels, the_legs, confusion, hypercalcemia, i, patient, the_blood, calcium","Oncologist, Orthopedist"
bone spur of the calcaneus,"the_surrounding_tissue, inflammation, heel_pain, tenderness",Orthopedist
bone spurs,"the_hip____________osteoarthritis, that, weakness, system:'you, some_cases, patients, pain, osteoarthritis, your_hip, the_hip________________osteoarthritis, no_signs, symptoms, motion, an_x, your_arms, -, most_bone, spine___bone, numbness, specific_symptoms, the_bone, your_leg, bone, cartilage, disks, knee, these_bone, spine________________bone, its_nerve_roots, examples, deterioration, the_space, the_range, close__close_osteoarthritis, legs, the_spine, the_formation, your_vertebrae, it, loss, your_knee, you, the_hip_joint, ._spine, the_spinal_cord, your_joints, another_condition, spine_________bone, the_hip_________osteoarthritis, your_hip_joint, the_left_side, spine, the_image, the_growths, your_spinal_cord, close__close_bone, i, their_placement, the_right_side, patient, the_hip___osteoarthritis, the_hip, spine____________bone, ray, form, the_pain",Orthopedist
borderline personality disorder,"an_intense_fear, spending_sprees, emptiness_inappropriate, that, extreme_measures, signs, rejection, system:'you, patients, real_or_imagined_separation, values, a_few_hours, symptoms, borderline_personality_disorder, intense_anger, fear, self-image, all_periods, a_few_days, behavior, unstable_intense_relationships, irritability, your_temper, shifting_goals, success, which, stress-related_paranoia, self-injury, loss, you, self-identity, others, a_few_minutes, contact, the_person, yourself, cruel_rapid_changes, a_good_job, response, impulsive_and_risky_behavior, separation, shame, anxiety, someone, i, a_positive_relationship_suicidal_threats, reality, binge_eating_or_drug_abuse, physical_fights, ongoing_feelings, patient, a_pattern, abandonment, reckless_driving, intense_happiness, unsafe_sex","Otolaryngologist, Psychiatrist"
botulism,"paralysis__certain_symptoms, iatrogenic_botulism, and_muscle_weakness, the_wound, foodborne_botulism_symptoms, system:'you, patients, a_few_hours, symptoms, how_much_toxin, the_baby's_body, serious_side_effects, wound_botulism_symptoms, the_area, a_few_days, headache, muscle_weakness, the_start, rare_occurrences, vomiting, facial_weakness, botulism, constipation, trouble, wound_botulism, cosmetic_or_medical_reasons, facial_paralysis, which, these, color, blood_pressure, dry_mouth_facial_weakness, a_change, your_body, the_toxin, eyelids, you, the_face, stomach_cramps, blurred_or_double_vision, confusion, breathing_nausea, foodborne_botulism, heart_rate, the_first_symptom_floppy_movements, eyelids_trouble, paralysis, i, infant_botulism_problems, patient, paralysis__wound_botulism_symptoms, example, fever, both_sides","Gastroenterologist, Pulmonologist"
brachial plexus injury,"movement, nerve_roots, nerve_damage____________types, (c, a_burning_sensation, that, signs, the_nerve_roots, weakness, system:'you, arm, patients, football, a_feeling, the_shoulder, nerve_damage________________types, symptoms, contact_sports, more-severe_symptoms, nerve_damage, shoulder, wrestling, the_symptoms, a_stretching_(b, minutes, only_one_arm, the_injury, the_arm, the_hand, these_symptoms, the_nerve_fibers, an_electric_shock, less-severe_injuries, the_nerves, complete_lack, minor_damage, stingers, types, these, nerve_damage___types, a_brachial_plexus_injury, some_people, the_nerve_root, a_cross_section, more-severe_injuries, injuries, two_pieces, a_rupture, the_nerve, the_spinal_cord, close__close_types, severe_pain, only_a_few_seconds, certain_muscles, spine, the_following_symptoms, the_arm_numbness, days, i, less_severe_injuries, burners, the_most_severe_type, nerve_damage_________types, nerve_injury, the_most_serious_brachial_plexus_injury, the_severity, location, patient, inability, an_avulsion, the_brachial_plexus_nerves","Neurologist, Orthopedist"
bradycardia,"near-fainting_shortness, typical_heartbeat, physical_activity_fatigue_fainting, system:'you, i, bradycardia, patients, the_brain, enough_oxygen, other_organs, these_signs, symptoms, chest_pain_confusion_or_memory_problems, syncope, patient, breath","Neurologist, Pulmonologist"
brain aneurysm,"a_more_severe_rupture, an_aneurysm, that, system:'you, a_very_serious_condition, some_cases, patients, and_if_an_unruptured_aneurysm_presses, pain, people, light, symptoms, a_slight_amount, leaking_brain_aneurysm_symptoms, an_unruptured_brain_aneurysm, vision, nerves, most_brain_aneurysms, severe_headache, blood, any_symptoms, brain_aneurysms, a_severe_headache, numbness, a_dilated_pupil, one_side, this_headache, a_ruptured_aneurysm, unruptured_aneurysm, other_conditions, leaks, a_change, it, consciousness_confusion, a_rupture, aneurysm, the_face, extremely_severe_headache, other_symptoms, a_larger_unruptured_aneurysm, addition, a_drooping_eyelid_loss, brain_tissue, i, brain_tissues, double_vision, the_worst_headache, one_eye, patient, this, stiff_neck_blurred_or_double_vision_sensitivity, imaging_tests, they, the_key_symptom",Neurologist
brain avm,"avm_research, all_brain_avms, pregnancy, that, signs, the_body, system:'you, patients, pain, one_area, avm__severe_headache_weakness, people, symptoms, the_brain, swollen_veins, one_part, any_age, early_adulthood, seizures, the_head, the_vein, numbness, the_effects, failure_to_thrive_and_congestive_heart_failure, hemorrhage, time, more-serious_neurological_signs, any_signs, a_brain, galen, avm_avm, more_research, avm__seizures_headache, a_brain_arteriovenous_malformation, the_risk, the_first_sign, some_people, it, others, a_brain_avm, middle_age, the_location, brain_avm, the_avm, severe_unsteadiness__signs, paralysis_vision_loss_difficulty, avm, confusion, ages, brain_tissue, brain_avms, brain, the_scalp, i, birth, the_avm_ruptures, the_major_blood_vessel, patient, the_head_muscle_weakness, inability, this_type, avm_one_severe_type, about_half, fluid",Neurologist
brain metastases,"the_metastatic_tumors, signs, weakness, system:'you, the_body, patients, symptoms, headache, numbness, rate, one_side, vomiting_or_nausea_mental_changes, memory_problems, size, the_location, brain_metastases, i, growth, patient","Neurologist, Oncologist"
brain tumor,"your_vision, close__close_brain_lobes___brain, people, the_brain, the_parietal_lobe, balance, the_signs, seizures, dizziness, personality_or_behavior_changes, frontal_lobe_brain_tumors, subtle_symptoms, any_time, brain_tumor_headaches, hearing, memories, trouble, parietal_lobe_brain_tumors, weight, each_side, sight, voluntary_movement, usual_activities, the_middle, the_frontal_lobes, the_brain_tumor's_size, brain, headache_pain, the_cerebrum, i, your_brain, location, patient, brain_tumor_headaches_headaches, touch, movement, a_migraine, months, system:'you, no_history, patients, a_headache, thinking, vision, the_head, taste, sinus_pain, the_symptoms, headache, the_morning, simple_commands, a_tension_headache, vomiting, years, brain_tumor_symptoms, which, location____________brain, some_people, family_members, everyday_matters, it, blurry_vision, days, brain_cancers, headaches, sleep, noncancerous_brain_tumors, the_temporal_lobe_processes, smell, the_frontal_lobe, that, the_back, pain, occipital_lobe_brain_tumors, healthy_cells, something, vision_loss, the_headache, the_world, the_most_common_symptom, the_occipital_lobes, a_matter, the_upper_middle_part, an_arm, a_leg, sensations, examples, the_senses, senses, migraines, cognitive_functions, information, four_lobes, cancerous_brain_tumors, the_occipital_lobe, confusion, personality_changes, weeks, eye_pain, lack, the_taste, a_sense, about_half, tension_headaches, feeling, the_sides, temperature, problems, malignant_brain_tumors, different_symptoms, temporal_lobe_brain_tumors, pressure, nausea, symptoms, the_parietal_lobes, speech_problems, lobes___brain, them, a_growing_brain_tumor, general_signs, benign_brain_tumors, interest, the_tumor_grade, memory_problems, the_temporal_lobes, vision_problems, different_parts, you, double_or_losing_sight, balance_problems, a_brain_tumor, the_main_part, eye_problems, the_person, neck_pain, someone, control, activity, the_lower_part, the_brain_tumor, the_front, brain_tumors, they","Neurologist, Oncologist"
breast cancer,"that, signs, system:'you, the_nipple, patients, nipple_changes____________nipple_changes___nipple_changes, thickening, nipple_changes, breast_size, anything, symptoms, the_skin, a_newly_inverted_nipple, close__close_nipple_changes___nipple_changes, the_size, a_breast_lump, breast_and_nipple_changes, changes, the_breast, the_surrounding_tissue_change, a_breast_changes, flaking, your_breast, you, breast_pain, areola, appearance, an_orange, pitting, the_pigmented_area, an_appointment, breast_lump, skin, breast_skin_redness, breast_cancer, i, your_doctor, shape, patient, a_sign",Oncologist
breast cysts,"your_menstrual_cycle, a_decrease, that, signs, system:'you, patients, benign_nipple_discharge, a_breast_cyst, symptoms, something, resolution, the_area, breast_lump_size_and_breast_tenderness, an_increase, smooth_edges, your_period, cysts, straw_colored_or_dark_brown_breast_pain, other_changes, it, evaluation, you, new_breast_lumps, your_breasts, breast_cysts, other_symptoms, tenderness, both_breasts, breast_lump_size, breast_cancer, i, your_doctor, your_risk, patient, the_breast_lump","Gynecologist, Oncologist"
breast pain,"fullness, distinct_characteristics, system:'you, menopause______breast_pain_characteristics___cyclic_breast_pain_noncyclic_breast_pain____cyclic_breast_pain_noncyclic_breast_pain__cyclic_breast_pain_noncyclic_breast_pain, outer_portions, patients, people, a_regular_pattern, changing_hormone_levels, the_start, their_20s, women, the_menstrual_period, 30s, the_two_weeks, the_menstrual_cycle, the_breast, lumpiness, each_type, breast_pain, breast_pain_characteristics___cyclic_breast_pain_noncyclic_breast_pain, a_localized_area, cyclic, menopause, sensation, both_breasts, noncyclic, who, i, their_40s, one_breast, the_underarm_intensifies, patient, the_pain","Endocrinologist, Gynecologist"
broken ankle,"a_broken_ankle, system:'you, i, you, patients, pain, the_following_signs, symptoms, patient, weight, some, pain_swelling_bruising_tenderness_deformity_difficulty",General Practitioner
broken arm,"movement, a_snap_or_cracking_sound, palm, your_first_indication, signs, system:'you, i, you, patients, a_bent_arm, symptoms, patient, an_arm, which, severe_pain, bruising_deformity, inability, your_arm",General Practitioner
broken collarbone,"that, system:'you, patients, pain, the_shoulder, symptoms, the_arm, a_broken_collarbone, a_bump, the_break, newborns, tenderness, days, skin, a_grinding_or_crackling_sound, someone, i, a_tent, birth, their_arm, patient, the_collarbone",Orthopedist
broken foot,"decreases, that, system:'you, i, you, patients, activity, the_following_signs, symptoms, rest_swelling_bruising_tenderness_deformity_difficulty, patient, weight, a_broken_foot, pain_pain, some",General Practitioner
broken hand,"that, a_broken_hand, system:'you, patients, a_doctor, symptoms, motion, a_crooked_finger_stiffness, obvious_deformity, numbness, thumb_numbness, your_hand, a_delay, these_signs, trouble, decreased_range, treatment, diagnosis, you, swelling_tenderness, your_fingers, severe_pain, poor_healing, i, grip_strength, patient, inability, fingers",General Practitioner
broken heart syndrome,"shortness, system:'you, i, patients, breath, symptoms, patient, a_heart_attack, chest_pain, broken_heart_syndrome",Cardiologist
broken leg,"femur, that, signs, the_body, system:'you, patients, symptoms, so_much_force, movement_swelling_tenderness, (fibula, obvious_deformity, the_bone, the_thighbone, the_shinbone, toddlers, a_leg, which, young_children, it, tibia, a_broken_leg, a_break, the_affected_leg_inability, severe_pain, who, i, shortening, patient, the_strongest_bone, they",Orthopedist
broken nose,"your_nose_discharge, eyes, signs, system:'you, i, mucus, patients, pain, your_nasal_passages, surrounding_areas, symptoms, a_broken_nose, patient, tenderness, both, your_nose",Otolaryngologist
broken ribs,"the_following, a_bend, a_twist, system:'you, i, a_deep_breath, patients, pain, pressure, the_body, patient, the_injured_area, a_broken_rib",Pulmonologist
broken toe,"pain_swelling_change, signs, system:'you, i, skin_color, patients, symptoms, patient, the_skin, a_broken_toe",Dermatologist
broken wrist,"that, system:'you, patients, a_doctor, symptoms, motion, a_bent_wrist, obvious_deformity, numbness, a_broken_wrist, your_hand, a_delay, these_signs, trouble, decreased_range, treatment, diagnosis, you, your_fingers, severe_pain, poor_healing, tenderness, i, grip_strength, patient",General Practitioner
bronchial asthma,"that, mouth, system:'you, dry_cough, weakness, patients, a_high_fever, breathlessness, cough, this_cough, a_bad_cough, mucoid_sputum, phlegm, a_persistent_cough, something, some_medicine, a_cough, a_few_days, the_day, a_dry_cough, my_fever, mucusy_saliva, my_nose, these_symptoms, mom, dad, trouble, a_hard_time_breathing, and_a_high_fever, high_fever, mucusy_stuff, my_chest, a_lot, sticky_mucus, a_few_weeks, a_hard_time, a_terrible_cough, all, saliva, it, you, a_full_breath, thick_sputum, some_medications, difficulty, what, mucoid_sputum, and_shortness, smoke, and_fatigue, days, my_breathing, thick_mucus, sticky_saliva, i, mucus, a_week, mucusy_sputum, breath, past_few_days, high_fever, difficulties, my_breath, other_irritants, patient, this, enough_air, me, a_fever, fatigue",Pulmonologist
bronchiolitis,"system:'you, patients, cough, an_ear_infection, a_cold, the_first_few_days, stuffy_nose, the_symptoms, otitis_media, many_infants, which, bronchiolitis, :__runny_nose, wheezing, i, a_week, your_child, sometimes_a_slight_fever, patient",Pulmonologist
bronchitis,"that, signs, chest_discomfort, system:'you, top, patients, cold_symptoms, a_doctor, those_times, symptoms, 100.4_f, periods, about_a_week, blood, shortness, these_symptoms, persistent_cough, acute_bronchitis, a_nagging_cough, (38_c, which, several_weeks, at_least_two_consecutive_years, your_cough, sputum, color, it, yellow_or_green_mucus, you, body, at_least_three_months, a_mild_headache, an_acute_infection, a_productive_cough, bouts, other_symptoms, either_acute_bronchitis, breath_slight_fever, wheezing, blood_fatigue_shortness, i, chest_congestion, mucus, breath, your_doctor, chronic_bronchitis, patient, cough_production, more_than_three_weeks, fever, fatigue",Pulmonologist
brucellosis,"months, weakness_fatigue, long-term_signs, signs, arthritis, system:'you, patients, the_inner_lining, the_flu, sacroiliitis, symptoms, the_spinal_bones, pelvis_connect, a_few_days, chronic_brucellosis_and_experience_symptoms, years, spondylitis)_arthritis, fatigue_recurrent_fevers_inflammation, joints, the_heart_chambers, treatment, a_few_months, some_people, loss, you, muscle_and_back_pain_headache__brucellosis_symptoms, endocarditis, appetite, those, i, brucellosis, weeks, joint_inflammation, where_the_spine, patient, fever","Orthopedist, Otolaryngologist"
brugada syndrome,"that, signs, system:'you, patients, symptoms, brugada_syndrome, dizziness_fainting_gasping, night, ecg, many_people, the_electrical_activity, a_test, it, irregular_heartbeats, an_irregular_result, palpitations, an_electrocardiogram, a_major_sign, i, any_noticeable_symptoms, labored_breathing, the_heart, patient, they","Otolaryngologist, Pulmonologist"
bruxism,"your_child's_next_dental_appointment, that, chipped_or_loose_worn_tooth_enamel, signs, system:'you, his_or_her_teeth, patients, a_doctor, symptoms, other_signs, the_symptoms, doctor, your_tooth, other_concerns, increased_tooth_pain_or_sensitivity_tired_or_tight_jaw_muscles, an_earache, deeper_layers, which, teeth, the_temples_damage, it, a_problem, the_inside, you, neck, or_a_locked_jaw, your_sleep_partner_teeth, pain_or_soreness_pain, any, dull_headache, i, your_ear, your_child, your_teeth, bruxism, your_dentist, patient, your_cheek_sleep_disruption","Orthopedist, Otolaryngologist"
buergers disease,"pale, hands, blue-tinted_hands, that, system:'you, patients, pain, your_hands, your_arms, feet, the_vein, toes, claudication, your_legs, this_pain, that_activity, buerger's_disease_symptoms, the_skin's_surface, a_blood_clot, painful_open_sores, you, the_hands, your_fingers, rest, fingers, cold_(raynaud's_phenomenon, i, patient, a_vein, inflammation",Dermatologist
bulimia,"abnormally_large_amounts, enemas, binges, certain_foods, your_body_shape, that, system:'you, patients, symptoms, bulimia_signs, fear, times, food, dietary_supplements, calories, weight_repeated_episodes, weight, weight_loss, the_number, herbal_products, you, at_least_three_months, what, yourself, laxatives, control, i, a_loss, the_severity, bingeing, patient, diuretics, they, bulimia",Otolaryngologist
bulimia nervosa,"binge, recurrent_episodes, behaviors",General Practitioner
bullous pemphigoid,"mucous_membrane, months, that, bullous_pemphigoid, creases, system:'you, other_mucous_membranes, patients, sores, symptoms, the_signs, large_blisters, the_mouth, blisters, the_blisters, normal_eczema, skin, a_hive-like_rash_small_blisters, i, folds, weeks, the_skin_skin, patient",Dermatologist
bundle branch block,"they, some_people, system:'you, i, syncope, patients, you, most_people, symptoms, patient, bundle_branch_block, the_condition, branch_block",General Practitioner
bunions,"the_outside, that, system:'you, calluses, patients, a_bulging_bump, pain, symptoms, the_signs, these, the_base, your_big_toe, a_bunion, each_other_ongoing_pain, i, the_first_and_second_toes, redness, patient, limited_movement, your_big_toe_joint_corns",Orthopedist
burning mouth syndrome,"the_burning_feeling, feeling, months, that, mouth, system:'you, patients, a_feeling, symptoms, taste, the_day, numbness, mouth_syndrome, burning_mouth_syndrome, mouth_discomfort, little_discomfort, years, rare_cases, your_mouth, roof, changes, any_physical_changes, it, loss, several_different_patterns, your_lips, you, your_tongue, whole_mouth, increased_thirst, a_burning, throat, whatever_pattern, gums, dry_mouth, i, the_discomfort, patient, a_bitter_or_metallic_taste",Otolaryngologist
burns,"tan, that, the_fat_layer, the_skin_damage, the_dermis, system:'you, a_day, patients, third-degree_burn, pain, close__close_skin_anatomy___skin_anatomy, symptoms, the_signs, only_the_outer_layer, hair_follicles, the_skin, -, 1st-degree_burn, epidermis, swelling, this_burn, nerves, white_or_splotchy_skin, numbness, 3rd-degree_burn, 2nd-degree_burn, these_types, rays, radiation_burn_radiation_burns, leathery, third-degree_burn_third-degree_burns, your_sweat_and_oil_glands, third-degree_burns, x, burned_areas, burn, cancer, waxy, blisters, radiation_therapy, red, your_skin, it, third-degree_burn________________third-degree_burn_________third-degree_burn___third-degree_burn_third-degree_burns, and_blood_vessels, close_radiation_burn, the_second_layer, melanocytes, radiation_burn___radiation_burn_radiation_burns, deep_second-degree_burns, wound_closure, third-degree_burn___third-degree_burn_third-degree_burns, radiation_burn________________radiation_burn_________radiation_burn___radiation_burn_radiation_burns, both_the_epidermis, skin_anatomy________________skin_anatomy_________skin_anatomy___skin_anatomy, skin_anatomy___skin_anatomy, burn_symptoms, skin, skin_grafts, dermis, i, a_severe_burn, burns, radiation_burns, radiation_burn____________radiation_burn___radiation_burn_radiation_burns, redness, this_type, patient, three_layers, this_minor_burn","Neurologist, Oncologist"
bursitis,"joint_pain, it, system:'you, i, you, patients, motion, bursitis, the_affected_joint_might, limited_range, patient, tenderness",Orthopedist
c difficile,"the_stool, carriers, an_infection, that, signs, a_severe_c._difficile_infection, system:'you, pus, patients, the_first_day, pain, severe_rapid_heart_rate_dehydration_fever_nausea, people, symptoms, watery_diarrhea, patches, mild_abdominal_cramping, the_intensive_care_unit, c._difficile_infection, a_course, antibiotics, 5_to_10_days, abdominal_cramping, the_body's_response, the_bacteria, which, the_colon, a_life-threatening_condition, swollen_abdomen_weight_loss_blood, their_intestines, some_people, difficile_infection, raw_tissue, intestinal_inflammation, enlargement, pus._signs, sepsis, infection, these_individuals, white_blood_cell_count_kidney_failure_loss, appetite, more_than_one_day, who, the_most_common_signs, toxic_megacolon, i, c._difficile_bacteria, three_or_more_times, severe_infection, these_conditions, its_own_tissues, an_uncommon_condition, infections, patient, c._difficile, they, tenderness__severe_infection_people","Gastroenterologist, Infectious Disease Specialist"
calciphylaxis,"open_sores, the_arterioles, that, signs, system:'you, patients, recent_studies, people, symptoms, most_people, skin_areas, the_condition, blood_clots, the_metabolism, anywhere_infections, nourishment, substances, your_blood, small_blood_clots, high_fat_content, the_exact_cause, which, very_painful_lumps, thigh, black-brown_crust, arterioles, the_formation, an_imbalance, large_purple_net-like_patterns, these_abnormalities, wounds, the_stomach, oxygen, calciphylaxis, addition, fat_tissues, skin, the_arteries, i, abnormalities, blood-clotting_factors, patient, this, they, calcium, the_smallest_parts","Dermatologist, Endocrinologist"
cancer,"that, signs, the_body, system:'you, existing_moles_changes, unexplained_muscle, patients, fatigue_lump, thickening, sores, hoarseness_persistent_indigestion, symptoms, or_changes, the_skin, joint_pain_persistent, night, breathing_difficulty, trouble, unexplained_bleeding, cancer, unexplained_fevers, bowel_or_bladder_habits_persistent_cough, skin_changes, area, what_part, unintended_loss, i, some_general_signs, the_skin_weight_changes, redness, patient, discomfort",Oncologist
canker sore,"system:'you, patients, your_cheeks, your_soft_palate, irregular_edges, lips, one_large_ulcer, clusters, these_canker_sores, pinpoint_size, oval, your_gums, most_canker_sores, defined_borders, your_mouth, several_types, major_canker_sores, 10_to_100_sores, the_base, up_to_six_weeks, you, minor_canker_sores, your_tongue, one_to_two_weeks, life, a_red_border, the_sores, minor, a_white_or_yellow_center, a_tingling_or_burning_sensation, herpetiform_canker_sores, a_red_edge_heal, i, patient, herpes_virus_infection, major_and_herpetiform_sores, canker_sores, they","Gastroenterologist, Infectious Disease Specialist"
cannabis use disorder,"bloodshot_eyes, some_individuals, continued_use, anxiety, relaxation, negative_consequences, irritability, time, withdrawal_symptoms, concentration, relationship_problems, job_difficulties, impaired_memory, cannabis_use, paranoia, increased_appetite, altered_perception, insomnia",Psychiatrist
carbon monoxide,"shortness, who, signs, anyone, a_problem, system:'you, i, carbon_monoxide_poisoning, patients, consciousness__carbon_monoxide_poisoning, people, symptoms, patient, dull_headache_weakness_dizziness_nausea, irreversible_brain_damage, breath_confusion_blurred_vision_loss","Neurologist, Pulmonologist"
carbon monoxide poisoning,"headache, nausea, confusion, dizziness",General Practitioner
carcinoid syndrome,"flushing_episodes, system:'you, difficulty_breathing, patients, people, a_few_hours, the_same_time, symptoms, the_signs, no_obvious_reason, the_skin, periods, exercise, diarrhea, upper_chest, shortness, carcinoid_syndrome, your_face, which, stress, alcohol, color, the_carcinoid_tumor_secretes, it, purplish_areas, upper_lip, watery_stools, you, rapid_heartbeat, a_few_minutes, abdominal_cramps, purple, your_nose, skin, wheezing, who, the_most_common_signs, pink, i, facial_skin_lesions, breath, a_fast_heart_rate, patient, asthma-like_signs, your_bloodstream, spiderlike_veins, a_sign","Dermatologist, Pulmonologist"
carcinoid tumors,"that, the_tumor, signs, intestinal_blockage, system:'you, patients, a_feeling, symptoms, some_carcinoid_tumors, the_skin, chest_pain_wheezing_shortness, the_lungs_signs, stool, vomiting, any_signs, abdominal_pain_diarrhea_nausea, your_face, breath_diarrhea_redness, stretch_marks__carcinoid_tumors, the_digestive_tract, neck, the_location, warmth, carcinoid_tumors, the_digestive_tract_signs, rectal_pain_redness, skin, bowel_obstruction, the_midsection, i, marks, carcinoid_lung_tumors, patient, weight_gain, inability, they",Oncologist
carcinoma unknown primary,"carcinoma, that, signs, unknown_primary, system:'you, the_body, patients, symptoms, bowel_habits, diarrhea_frequent_urination_cough_fever_night, depend, weight, the_skin_pain_changes, what_part, i, a_lump, patient, they, new_and_persistent_constipation",Oncologist
cardiogenic shock,"medical_attention, that, system:'you, pressure, patients, people, symptoms, the_signs, not_at_all__symptoms, your_arms, feet, your_chest, these_signs, cardiogenic_shock, severe_shortness, these, both, your_shoulder, it, a_squeezing_pain, jaw_increasing_episodes, rapid_heartbeat_(tachycardia)_loss, chest_pain_shortness, more_than_a_few_minutes_pain, a_heart_attack, consciousness, the_center, who, i, cardiogenic_shock_signs, breath, your_risk, even_your_teeth, your_back, breath_sweating_lightheadedness_or_sudden_dizziness_nausea, patient, weak_pulse_low_blood_pressure, a_severe_heart_attack, hypotension)_sweating_pale_skin_cold_hands","Dermatologist, Pulmonologist"
cardiomyopathy,"that, signs, system:'you, pressure_dizziness, patients, no_signs, symptoms, lightheadedness_and_fainting__signs, the_early_stages, feet, the_condition, ankles, rest_swelling, the_abdomen, fluid_buildup_cough, some_people, it, others, difficulty, the_legs, pounding_or_fluttering_chest_discomfort, fatigue_heartbeats, i, activity, patient, a_long_time","Cardiologist, Otolaryngologist"
carotid artery disease,"its_early_stages, signs, weakness, system:'you, the_body, patients, symptoms, balance, sudden_trouble, the_condition, severe_headache, blood, carotid_artery_disease, any_signs, tia, sudden_numbness, sudden_dizziness, limbs, only_one_side, it, a_stroke, loss, the_face, no_known_cause, i, one_or_both_eyes, your_brain, patient","Neurologist, Otolaryngologist"
